fecha;riesgo_pais
28/07/2022;2519
27/07/2022;2672
26/07/2022;2831
25/07/2022;2905
22/07/2022;2890
21/07/2022;2913
20/07/2022;2770
19/07/2022;2766
18/07/2022;2767
15/07/2022;2754
14/07/2022;2756
13/07/2022;2729
12/07/2022;2728
11/07/2022;2669
08/07/2022;2651
07/07/2022;2641
06/07/2022;2683
05/07/2022;2652
04/07/2022;2344
01/07/2022;2344
30/06/2022;2428
29/06/2022;2371
28/06/2022;2434
27/06/2022;2451
24/06/2022;2356
23/06/2022;2285
22/06/2022;2265
21/06/2022;2200
20/06/2022;2213
17/06/2022;2213
16/06/2022;2199
15/06/2022;2111
14/06/2022;2125
13/06/2022;2124
10/06/2022;2043
09/06/2022;2045
08/06/2022;1970
07/06/2022;1930
06/06/2022;1908
03/06/2022;1894
02/06/2022;1897
01/06/2022;1914
31/05/2022;1918
30/05/2022;1916
27/05/2022;1916
26/05/2022;1928
25/05/2022;1917
24/05/2022;1934
23/05/2022;1916
20/05/2022;1951
19/05/2022;1944
18/05/2022;1951
17/05/2022;1930
16/05/2022;1927
13/05/2022;1895
12/05/2022;1887
11/05/2022;1840
10/05/2022;1854
09/05/2022;1849
06/05/2022;1808
05/05/2022;1788
04/05/2022;1763
03/05/2022;1786
02/05/2022;1817
29/04/2022;1801
28/04/2022;1789
27/04/2022;1768
26/04/2022;1782
25/04/2022;1754
22/04/2022;1776
21/04/2022;1730
20/04/2022;1701
19/04/2022;1689
18/04/2022;1679
14/04/2022;1689
13/04/2022;1710
12/04/2022;1735
11/04/2022;1723
08/04/2022;1711
07/04/2022;1702
06/04/2022;1710
05/04/2022;1710
04/04/2022;1692
01/04/2022;1714
31/03/2022;1718
30/03/2022;1729
29/03/2022;1727
28/03/2022;1744
25/03/2022;1785
24/03/2022;1817
23/03/2022;1837
22/03/2022;1787
21/03/2022;1791
18/03/2022;1789
17/03/2022;1769
16/03/2022;1780
15/03/2022;1815
14/03/2022;1807
11/03/2022;1816
10/03/2022;1825
09/03/2022;1874
08/03/2022;1979
07/03/2022;1971
04/03/2022;1927
03/03/2022;1860
02/03/2022;1850
01/03/2022;1842
28/02/2022;1816
25/02/2022;1795
24/02/2022;1766
23/02/2022;1739
22/02/2022;1725
18/02/2022;1709
17/02/2022;1759
16/02/2022;1738
15/02/2022;1762
14/02/2022;1800
11/02/2022;1814
10/02/2022;1776
09/02/2022;1767
08/02/2022;1770
07/02/2022;1784
04/02/2022;1780
03/02/2022;1758
02/02/2022;1726
01/02/2022;1740
31/01/2022;1723
28/01/2022;1756
27/01/2022;1904
26/01/2022;1896
25/01/2022;1928
24/01/2022;1961
21/01/2022;1916
20/01/2022;1907
19/01/2022;1880
18/01/2022;1890
17/01/2022;1882
14/01/2022;1882
13/01/2022;1864
12/01/2022;1835
11/01/2022;1820
10/01/2022;1821
07/01/2022;1802
06/01/2022;1788
05/01/2022;1753
04/01/2022;1731
03/01/2022;1701
31/12/2021;1688
30/12/2021;1703
29/12/2021;1702
28/12/2021;1718
27/12/2021;1743
24/12/2021;1762
23/12/2021;1762
22/12/2021;1754
21/12/2021;1743
20/12/2021;1748
17/12/2021;1717
16/12/2021;1704
15/12/2021;1686
14/12/2021;1697
13/12/2021;1717
10/12/2021;1712
09/12/2021;1684
08/12/2021;1693
07/12/2021;1698
06/12/2021;1747
03/12/2021;1779
02/12/2021;1816
01/12/2021;1827
30/11/2021;1914
29/11/2021;1878
26/11/2021;1872
25/11/2021;1821
24/11/2021;1821
23/11/2021;1798
22/11/2021;1780
19/11/2021;1750
18/11/2021;1741
17/11/2021;1724
16/11/2021;1707
15/11/2021;1684
12/11/2021;1734
11/11/2021;1744
10/11/2021;1744
09/11/2021;1731
08/11/2021;1716
05/11/2021;1726
04/11/2021;1746
03/11/2021;1737
02/11/2021;1741
01/11/2021;1728
29/10/2021;1712
28/10/2021;1694
27/10/2021;1669
26/10/2021;1664
25/10/2021;1667
22/10/2021;1672
21/10/2021;1653
20/10/2021;1638
19/10/2021;1639
18/10/2021;1644
15/10/2021;1629
14/10/2021;1629
13/10/2021;1625
12/10/2021;1617
11/10/2021;1602
08/10/2021;1602
07/10/2021;1582
06/10/2021;1588
05/10/2021;1592
04/10/2021;1613
01/10/2021;1611
30/09/2021;1607
29/09/2021;1589
28/09/2021;1597
27/09/2021;1631
24/09/2021;1619
23/09/2021;1598
22/09/2021;1612
21/09/2021;1597
20/09/2021;1576
17/09/2021;1512
16/09/2021;1496
15/09/2021;1490
14/09/2021;1501
13/09/2021;1483
10/09/2021;1538
09/09/2021;1528
08/09/2021;1504
07/09/2021;1477
06/09/2021;1487
03/09/2021;1487
02/09/2021;1482
01/09/2021;1493
31/08/2021;1513
30/08/2021;1509
27/08/2021;1538
26/08/2021;1542
25/08/2021;1538
24/08/2021;1547
23/08/2021;1572
20/08/2021;1598
19/08/2021;1604
18/08/2021;1589
17/08/2021;1589
16/08/2021;1589
13/08/2021;1566
12/08/2021;1538
11/08/2021;1565
10/08/2021;1564
09/08/2021;1579
06/08/2021;1573
05/08/2021;1580
04/08/2021;1589
03/08/2021;1595
02/08/2021;1595
30/07/2021;1591
29/07/2021;1593
28/07/2021;1600
27/07/2021;1601
26/07/2021;1587
23/07/2021;1581
22/07/2021;1597
21/07/2021;1597
20/07/2021;1606
19/07/2021;1621
16/07/2021;1595
15/07/2021;1595
14/07/2021;1582
13/07/2021;1589
12/07/2021;1599
09/07/2021;1600
08/07/2021;1611
07/07/2021;1602
06/07/2021;1607
05/07/2021;1590
02/07/2021;1590
01/07/2021;1585
30/06/2021;1596
29/06/2021;1592
28/06/2021;1587
25/06/2021;1573
24/06/2021;1556
23/06/2021;1532
22/06/2021;1536
21/06/2021;1522
18/06/2021;1501
17/06/2021;1496
16/06/2021;1473
15/06/2021;1483
14/06/2021;1476
11/06/2021;1466
10/06/2021;1474
09/06/2021;1470
08/06/2021;1492
07/06/2021;1507
04/06/2021;1506
03/06/2021;1498
02/06/2021;1480
01/06/2021;1498
31/05/2021;1508
28/05/2021;1508
27/05/2021;1506
26/05/2021;1514
25/05/2021;1528
24/05/2021;1532
21/05/2021;1537
20/05/2021;1519
19/05/2021;1518
18/05/2021;1504
17/05/2021;1513
14/05/2021;1547
13/05/2021;1592
12/05/2021;1596
11/05/2021;1607
10/05/2021;1591
07/05/2021;1580
06/05/2021;1578
05/05/2021;1567
04/05/2021;1560
03/05/2021;1562
30/04/2021;1551
29/04/2021;1557
28/04/2021;1545
27/04/2021;1539
26/04/2021;1559
23/04/2021;1578
22/04/2021;1581
21/04/2021;1597
20/04/2021;1594
19/04/2021;1590
16/04/2021;1601
15/04/2021;1605
14/04/2021;1578
13/04/2021;1592
12/04/2021;1586
09/04/2021;1614
08/04/2021;1608
07/04/2021;1606
06/04/2021;1598
05/04/2021;1592
01/04/2021;1589
31/03/2021;1589
30/03/2021;1599
29/03/2021;1576
26/03/2021;1572
25/03/2021;1566
24/03/2021;1573
23/03/2021;1522
22/03/2021;1512
19/03/2021;1517
18/03/2021;1536
17/03/2021;1533
16/03/2021;1551
15/03/2021;1570
12/03/2021;1594
11/03/2021;1630
