fecha,riesgo_pais,dolar_blue_ARS,base_monetaria_MM_ARS,dolar_bcra_ARS,reservas_MM_USD,brecha_cambiaria_pct,ratio_ARS_USD,log_riesgo_pais,log_dolar_blue_ARS,log_dolar_bcra_ARS
2021-01-22,1422,156.0,2618,86.55,39.687,80.24,65.97,3.1528995963937474,2.1931245983544616,1.9372670722114127
2021-01-21,1440,156.0,2606,86.43,39.757,80.49,65.55,3.1583624920952498,2.1931245983544616,1.9366645130000755
2021-01-20,1419,156.0,2602,86.32,39.741,80.72,65.47,3.151982395457474,2.1931245983544616,1.9361114316748542
2021-01-19,1429,157.0,2571,86.2,39.779,82.13,64.63,3.1550322287909704,2.1958996524092336,1.9355072658247128
2021-01-18,1451,159.0,2565,86.07,39.812,84.73,64.43,3.161667412437736,2.2013971243204513,1.9348518029656607
2021-01-15,1451,159.0,2600,85.74,39.808,85.44,65.31,3.161667412437736,2.2013971243204513,1.9331834791746139
2021-01-14,1460,159.0,2631,85.65,39.791,85.64,66.12,3.164352855784437,2.2013971243204513,1.9327273673015293
2021-01-13,1449,159.0,2659,85.56,39.765,85.83,66.87,3.1610683854711747,2.2013971243204513,1.9322707758994904
2021-01-12,1415,159.0,2601,85.47,39.708,86.03,65.5,3.150756439860309,2.2013971243204513,1.9318137039591392
2021-01-11,1395,161.0,2595,85.38,39.605,88.57,65.52,3.144574207609616,2.2068258760318495,1.931356150467928
2021-01-08,1384,162.0,2574,85.11,39.462,90.34,65.23,3.141136090120739,2.2095150145426308,1.9299805905155147
2021-01-07,1374,162.0,2684,85.0,39.556,90.59,67.85,3.137986732723532,2.2095150145426308,1.9294189257142929
2021-01-06,1374,160.0,2659,84.9,39.546,88.46,67.24,3.137986732723532,2.204119982655925,1.9289076902439528
2021-01-05,1412,160.0,2619,84.8,39.54,88.68,66.24,3.149834696715785,2.204119982655925,1.9283958522567137
2021-01-04,1400,165.0,2627,84.7,39.501,94.81,66.5,3.146128035678238,2.2174839442139063,1.927883410330707
2020-12-30,1373,166.0,2470,84.15,39.387,97.27,62.71,3.137670537236755,2.220108088040055,1.9250541203118428
2020-12-29,1368,165.0,2582,84.03,39.281,96.36,65.73,3.1360860973840974,2.2174839442139063,1.9244343635432306
2020-12-28,1362,164.0,2545,83.91,39.236,95.45,64.86,3.1341771075767664,2.214843848047698,1.9238137210911896
2020-12-23,1358,159.0,2403,83.36,39.216,90.74,61.28,3.132899769944483,2.2013971243204513,1.9209577059554492
2020-12-22,1363,152.0,2479,83.25,39.009,82.58,63.55,3.1344958558346736,2.1818435879447726,1.9203842421783575
2020-12-21,1362,150.0,2444,83.15,38.899,80.4,62.83,3.1341771075767664,2.1760912590556813,1.919862253555538
2020-12-18,1365,150.0,2433,82.84,38.835,81.07,62.65,3.1351326513767748,2.1760912590556813,1.918240090221415
2020-12-17,1380,149.0,2401,82.72,38.828,80.13,61.84,3.1398790864012365,2.173186268412274,1.9176105257498672
2020-12-16,1382,150.0,2346,82.63,38.794,81.53,60.47,3.1405080430381798,2.1760912590556813,1.9171377527564442
2020-12-15,1387,151.0,2357,82.54,38.777,82.94,60.78,3.1420764610732848,2.1789769472931693,1.9166644645413973
2020-12-14,1369,151.0,2400,82.46,38.761,83.12,61.92,3.13640344813399,2.1789769472931693,1.9162433304653397
2020-12-11,1394,148.0,2453,82.22,38.75,80.0,63.3,3.144262773761991,2.1702617153949575,1.914977472444331
2020-12-10,1418,146.0,2498,82.13,38.744,77.77,64.47,3.151676230847048,2.164352855784437,1.914501822827314
2020-12-09,1434,149.0,2499,82.05,38.71,81.6,64.56,3.1565491513317814,2.173186268412274,1.914078585389112
2020-12-04,1427,150.0,2382,81.65,38.661,83.71,61.61,3.154423973114647,2.1760912590556813,1.911956189072687
2020-12-03,1426,151.0,2373,81.56,38.652,85.14,61.39,3.154119525515847,2.1789769472931693,1.9114772171061023
2020-12-02,1411,153.0,2382,81.48,38.622,87.78,61.67,3.149527013754348,2.184691430817599,1.9110510203281266
2020-11-30,1410,155.0,2227,81.3,38.652,90.65,57.62,3.1492191126553797,2.1903316981702914,1.9100905455940682
2020-11-27,1376,156.0,2336,81.04,38.705,92.5,60.35,3.1386184338994925,2.1931245983544616,1.908699432352224
2020-11-26,1376,157.0,2309,80.89,38.747,94.09,59.59,3.1386184338994925,2.1958996524092336,1.907894835416283
2020-11-25,1376,158.0,2298,80.79,38.746,95.57,59.31,3.1386184338994925,2.1986570869544226,1.907357608131173
2020-11-24,1369,160.0,2317,80.69,38.731,98.29,59.82,3.13640344813399,2.204119982655925,1.9068197154665454
2020-11-20,1378,161.0,2299,80.36,38.945,100.35,59.03,3.139249217571607,2.2068258760318495,1.9050399280762116
2020-11-19,1370,163.0,2301,80.27,38.939,103.06,59.09,3.1367205671564067,2.2121876044039577,1.9045532629767727
2020-11-18,1357,164.0,2358,80.15,39.069,104.62,60.35,3.132579847659737,2.214843848047698,1.9039035266901636
2020-11-17,1350,163.0,2358,80.03,39.116,103.67,60.28,3.130333768495006,2.2121876044039577,1.9032528168939584
2020-11-16,1323,162.0,2367,79.96,39.115,102.6,60.51,3.1215598441875008,2.2095150145426308,1.9028727854460792
2020-11-13,1331,172.0,2347,79.73,39.101,115.73,60.02,3.124178055474675,2.2355284469075487,1.9016217640933573
2020-11-12,1342,167.0,2424,79.58,39.191,109.85,61.85,3.1277525158329733,2.2227164711475833,1.9008039348103696
2020-11-11,1352,162.0,2377,79.48,39.259,103.82,60.55,3.130976691605617,2.2095150145426308,1.9002578584377776
2020-11-10,1352,149.0,2422,79.43,39.322,87.59,61.59,3.130976691605617,2.173186268412274,1.899984562549391
2020-11-09,1353,151.0,2449,79.34,39.316,90.32,62.29,3.131297796597623,2.1789769472931693,1.8994921961381317
2020-11-06,1391,157.0,2360,79.09,39.524,98.51,59.71,3.143327129992046,2.1958996524092336,1.8981215755411076
2020-11-05,1402,157.0,2360,79.09,39.524,98.51,59.71,3.14674801363064,2.1958996524092336,1.8981215755411076
2020-11-04,1430,161.0,2339,79.02,39.819,103.75,58.74,3.155336037465062,2.2068258760318495,1.8977370253454273
2020-11-03,1435,165.0,2338,78.9,39.882,109.13,58.62,3.156851901070011,2.2174839442139063,1.8970770032094204
2020-11-02,1464,168.0,2340,78.69,39.875,113.5,58.68,3.165541076722373,2.225309281725863,1.895919545310016
2020-10-30,1482,169.0,2225,78.33,39.856,115.75,55.83,3.170848203643309,2.2278867046136734,1.893928126542607
2020-10-29,1480,175.0,2247,78.3,39.826,123.5,56.42,3.1702617153949575,2.2430380486862944,1.8937617620579434
2020-10-28,1481,178.0,2272,78.3,39.866,127.33,56.99,3.1705550585212086,2.250420002308894,1.8937617620579434
2020-10-27,1460,181.0,2240,78.3,40.14,131.16,55.8,3.164352855784437,2.2576785748691846,1.8937617620579434
2020-10-26,1445,190.0,2314,78.21,40.239,142.94,57.51,3.1598678470925665,2.278753600952829,1.8932622858879913
2020-10-23,1425,195.0,2280,78.09,40.498,149.71,56.3,3.153814864344529,2.290034611362518,1.8925954228288981
2020-10-22,1440,190.0,2256,78.05,40.668,143.43,55.47,3.1583624920952498,2.278753600952829,1.8923729073984363
2020-10-21,1445,183.0,2264,77.71,40.8,135.49,55.49,3.1598678470925665,2.2624510897304293,1.8904769089601707
2020-10-20,1434,180.0,2264,77.66,40.812,131.78,55.47,3.1565491513317814,2.255272505103306,1.8901973862100288
2020-10-19,1431,181.0,2294,77.58,40.794,133.31,56.23,3.1556396337597765,2.2576785748691846,1.8897497752640378
2020-10-16,1397,178.0,2285,77.53,40.785,129.59,56.03,3.1451964061141817,2.250420002308894,1.8894697839695074
2020-10-15,1406,171.0,2311,77.46,40.777,120.76,56.67,3.147985320683805,2.2329961103921536,1.889077492650064
2020-10-14,1404,167.0,2303,77.42,40.847,115.71,56.38,3.1473671077937864,2.2227164711475833,1.8888531669829363
2020-10-13,1368,166.0,2341,77.4,40.837,114.47,57.33,3.1360860973840974,2.220108088040055,1.8887409606828927
2020-10-09,1343,167.0,2301,77.11,41.026,116.57,56.09,3.1280760126687155,2.2227164711475833,1.8871107031248837
2020-10-08,1366,158.0,2356,77.1,41.092,104.93,57.33,3.1354506993455136,2.1986570869544226,1.887054378050957
2020-10-07,1374,155.0,2384,77.1,41.132,101.04,57.96,3.137986732723532,2.1903316981702914,1.887054378050957
2020-10-06,1373,152.0,2453,77.08,41.129,97.2,59.64,3.137670537236755,2.1818435879447726,1.8869417059834153
2020-10-05,1350,150.0,2436,77.05,41.172,94.68,59.17,3.130333768495006,2.1760912590556813,1.886772643054438
2020-10-02,1353,150.0,2405,76.95,41.252,94.93,58.3,3.131297796597623,2.1760912590556813,1.8862086241674976
2020-10-01,1339,147.0,2589,76.25,41.369,92.79,62.58,3.126780577012009,2.167317334748176,1.8822398480188234
2020-09-30,1300,146.0,2394,76.18,41.379,91.65,57.86,3.113943352306837,2.164352855784437,1.8818409683249275
2020-09-29,1333,146.0,2295,76.12,41.751,91.8,54.97,3.1248301494138593,2.164352855784437,1.881498779614983
2020-09-28,1340,145.0,2314,76.06,41.874,90.64,55.26,3.1271047983648077,2.161368002234975,1.8811563210755637
2020-09-25,1332,145.0,2254,75.85,41.97,91.17,53.71,3.1245042248342823,2.161368002234975,1.8799555851227492
2020-09-24,1359,147.0,2298,75.78,42.118,93.98,54.56,3.1332194567324945,2.167317334748176,1.8795546009389743
2020-09-23,1390,145.0,2278,75.72,42.177,91.49,54.01,3.143014800254095,2.161368002234975,1.8792106052917592
2020-09-22,1353,144.0,2312,75.65,42.226,90.35,54.75,3.131297796597623,2.1583624920952498,1.8788089323592057
2020-09-21,1338,141.0,2346,75.59,42.248,86.53,55.53,3.1264561134318045,2.1492191126553797,1.8784643453414689
2020-09-18,1259,140.0,2281,75.38,42.428,85.73,53.76,3.1000257301078626,2.146128035678238,1.8772561331135862
2020-09-17,1237,141.0,2314,75.32,42.473,87.2,54.48,3.0923696996291206,2.1492191126553797,1.876910311344627
2020-09-16,1181,145.0,2288,75.25,42.521,92.69,53.81,3.072249897613515,2.161368002234975,1.876506504265881
2020-09-15,1119,131.0,2287,75.19,42.495,74.23,53.82,3.04883008652835,2.1172712956557644,1.8761600848256281
2020-09-14,1120,132.0,2336,75.12,42.501,75.72,54.96,3.0492180226701815,2.12057393120585,1.8757555792580545
2020-09-11,1108,131.0,2281,74.91,42.452,74.88,53.73,3.044539760392411,2.1172712956557644,1.8745397970710103
2020-09-10,1101,131.0,2277,74.84,42.549,75.04,53.51,3.041787318971752,2.1172712956557644,1.8741337788279724
2020-09-09,2120,131.0,2287,74.77,42.57,75.2,53.72,3.326335860928751,2.1172712956557644,1.8737273806466794
2020-09-08,2120,131.0,2302,74.71,42.638,75.34,53.99,3.326335860928751,2.1172712956557644,1.873378736409141
2020-09-07,2117,131.0,2310,74.65,42.643,75.49,54.17,3.325720858019412,2.1172712956557644,1.8730298120610442
2020-09-04,2117,132.0,2385,74.44,42.617,77.32,55.96,3.325720858019412,2.12057393120585,1.8718063644587293
2020-09-03,2128,134.0,2385,74.38,42.613,80.16,55.97,3.3279716236230104,2.1271047983648077,1.8714561740229538
2020-09-02,2123,133.0,2411,74.32,42.64,78.96,56.54,3.326949994165999,2.123851640967086,1.8711057009855854
2020-09-01,2127,133.0,2359,74.25,42.7,79.12,55.25,3.327767489902729,2.123851640967086,1.87069645798925
2020-08-31,2147,135.0,2287,74.18,42.842,81.99,53.38,3.331832044436249,2.130333768495006,1.8702868289925914
2020-08-28,2142,136.0,2325,74.0,42.914,83.78,54.18,3.330819466495837,2.1335389083702174,1.8692317197309762
2020-08-27,2149,138.0,2280,73.94,42.896,86.64,53.15,3.3322364154914434,2.1398790864012365,1.868879446237088
2020-08-26,2146,137.0,2266,73.86,42.962,85.49,52.74,3.3316297176299323,2.1367205671564067,1.86840930331496
2020-08-25,2137,137.0,2278,73.81,42.983,85.61,53.0,3.3298045221640695,2.1367205671564067,1.8681152053272172
2020-08-24,2140,137.0,2264,73.73,43.047,85.81,52.59,3.330413773349191,2.1367205671564067,1.8676442339030985
2020-08-21,2153,138.0,2259,73.58,43.048,87.55,52.48,3.3330440298234874,2.1398790864012365,1.8667597834951082
2020-08-20,2158,136.0,2280,73.53,43.092,84.96,52.91,3.334051440346892,2.1335389083702174,1.8664645659717403
2020-08-19,2142,134.0,2270,73.48,43.115,82.36,52.65,3.330819466495837,2.1271047983648077,1.8661691476337707
2020-08-18,2139,132.0,2285,73.4,43.16,79.84,52.94,3.330210784571528,2.12057393120585,1.8656960599160706
2020-08-17,2131,132.0,2271,73.16,43.122,80.43,52.66,3.328583449714202,2.12057393120585,1.8642736968043792
2020-08-14,2112,132.0,2271,73.16,43.122,80.43,52.66,3.3246939138617746,2.12057393120585,1.8642736968043792
2020-08-13,2101,133.0,2304,73.11,43.207,81.92,53.32,3.3224260524059526,2.123851640967086,1.8639767839043868
2020-08-12,2099,132.0,2366,73.05,43.253,80.7,54.7,3.3220124385824006,2.12057393120585,1.8636202202703156
2020-08-11,2083,131.0,2349,73.0,43.302,79.45,54.25,3.318689269947746,2.1172712956557644,1.863322860120456
2020-08-10,2084,131.0,2389,72.95,43.332,79.58,55.13,3.3188977146274867,2.1172712956557644,1.8630252962294704
2020-08-07,2091,132.0,2344,72.77,43.303,81.39,54.13,3.3203540328176717,2.12057393120585,1.8619523749214517
2020-08-06,2056,130.0,2401,72.7,43.344,78.82,55.39,3.313023110323238,2.113943352306837,1.861534410859038
2020-08-05,2027,129.0,2455,72.62,43.374,77.64,56.6,3.3068537486930087,2.110589710299249,1.8610562445768735
2020-08-04,2111,128.0,2497,72.57,43.409,76.38,57.52,3.3244882333076564,2.1072099696478683,1.860757123081542
2020-08-03,2119,136.0,2507,72.52,43.348,87.53,57.83,3.3261309567107946,2.1335389083702174,1.8604577954234711
2020-07-31,2263,136.0,2429,72.32,43.386,88.05,55.99,3.3546845539547285,2.1335389083702174,1.8592584174673068
2020-07-30,2278,136.0,2386,72.26,43.34,88.21,55.05,3.3575537197430814,2.1335389083702174,1.8588979572320035
2020-07-29,2280,135.0,2291,72.2,43.387,86.98,52.8,3.357934847000454,2.130333768495006,1.8585371975696392
2020-07-28,2242,135.0,2281,72.14,43.433,87.14,52.52,3.3506356082589543,2.130333768495006,1.8581761379823443
2020-07-27,2211,136.0,2261,72.08,43.384,88.68,52.12,3.344588742578714,2.1335389083702174,1.8578147779710066
2020-07-24,2210,139.0,2263,71.9,43.36,93.32,52.19,3.3443922736851106,2.143014800254095,1.8567288903828827
2020-07-23,2221,136.0,2282,71.84,43.349,89.31,52.64,3.346548558548474,2.1335389083702174,1.856366323659248
2020-07-22,2278,133.0,2283,71.78,43.379,85.29,52.63,3.3575537197430814,2.123851640967086,1.856003453997221
2020-07-21,2356,132.0,2275,71.72,43.399,84.05,52.42,3.372175286115064,2.12057393120585,1.8556402808901453
2020-07-20,2381,130.0,2258,71.66,43.389,81.41,52.04,3.37675939540488,2.113943352306837,1.8552768038300917
2020-07-17,2359,130.0,2222,71.48,43.362,81.87,51.24,3.3727279408855955,2.113943352306837,1.8541845438336066
2020-07-16,2343,130.0,2269,71.42,43.356,82.02,52.33,3.369772288596963,2.113943352306837,1.8538198458567632
